Date,Time,HH:MM:SS,.SS,App Version,Build Hash,Parametric Version,UI Version,UI Bootloader Version ,Machine State,Cycle Selected,Cycle Engine State,Drum Motor,HTR 1 / Inner / Top,HTR 2 / Outer / Bot,Steam Valve,Inlet Thermistor,Outlet Thermistor,Raw Moisture,Filtered Moisture,Erd_TargetMoistureVoltageErd_TargetMoistureVoltage,TargetMoistureVoltageReached,MaxFilteredMoistureVoltageDuringASensingCycl,TTRTVoltage Seconds,Temp Multi EcoDry,Temp Multi Extra Dry,Temp Multi Low,Temp Multi Medium,Temp Multi High,NormalHeatControlMethodStatus,FallbackHeatControlMethodStatus,HeatControlRequest,TrimmerInhibitRelay1,TrimmerInhibitRelay2,TrimmerBothCoilInhibitRequest,OverTempHeaterInhibitRequest,EcoDryInhibitRelay1,Door Switch,Filtered Moisture,Drum Motor,HTR 1 / Inner / Top,HTR 2 / Outer / Bot,Steam Valve,Personality,Time Level,Erd_TimeLevelOptionRequest,Remaing Cycle Time,Min Sensing Eapse Time In Sec,Time Multi Sec X 100,Time Adder Sec
,,,,,,,,,2000,F09D,F09A,F011,F011,F011,F011,F015,F016,F0B8,F017,F0A8,F0A9,F117,F0BC,F816,F816,F816,F816,F816,F074,F075,F0A0,F07F,F080,F073,F072,F07D,F013,F017,F011,F011,F011,F011,35,2077,2078,F027,F801,F801,F801
10/13/2021,16:00:07:.299,04:00:07 p. m.,.299,Crit 0.0 Non Crit 0.0,21CE188EDA,Crit 0.0 Non Crit 0.0,Crit 1.0 Non Crit 4.1,00 00 00 00,STANDBY,OFF,Cycle 0 Unknown,OFF,OFF,OFF,OFF,0,0,191,0,0,False,0,0,0,0,0,0,0,False,False,OFF,False,False,False,False,False,Closed,0,OFF,OFF,OFF,OFF,1,TimeLevelOption_Disabled,FF,0,0,0,0
10/13/2021,16:00:07:.486,04:00:07 p. m.,.486,Crit 0.0 Non Crit 0.0,21CE188EDA,Crit 0.0 Non Crit 0.0,Crit 1.0 Non Crit 4.1,00 00 00 00,STANDBY,OFF,Cycle 0 Unknown,OFF,OFF,OFF,OFF,0,0,189,0,0,False,0,0,0,0,0,0,0,False,False,OFF,False,False,False,False,False,Closed,0,OFF,OFF,OFF,OFF,1,TimeLevelOption_Disabled,FF,0,0,0,0
10/13/2021,16:00:07:.642,04:00:07 p. m.,.642,Crit 0.0 Non Crit 0.0,21CE188EDA,Crit 0.0 Non Crit 0.0,Crit 1.0 Non Crit 4.1,00 00 00 00,STANDBY,OFF,Cycle 0 Unknown,OFF,OFF,OFF,OFF,0,0,189,0,0,False,0,0,0,0,0,0,0,False,False,OFF,False,False,False,False,False,Closed,0,OFF,OFF,OFF,OFF,1,TimeLevelOption_Disabled,FF,0,0,0,0
10/13/2021,16:00:07:.804,04:00:07 p. m.,.804,Crit 0.0 Non Crit 0.0,21CE188EDA,Crit 0.0 Non Crit 0.0,Crit 1.0 Non Crit 4.1,00 00 00 00,STANDBY,OFF,Cycle 0 Unknown,OFF,OFF,OFF,OFF,0,0,189,0,0,False,0,0,0,0,0,0,0,False,False,OFF,False,False,False,False,False,Closed,0,OFF,OFF,OFF,OFF,1,TimeLevelOption_Disabled,FF,0,0,0,0
10/13/2021,16:00:07:.992,04:00:07 p. m.,.992,Crit 0.0 Non Crit 0.0,21CE188EDA,Crit 0.0 Non Crit 0.0,Crit 1.0 Non Crit 4.1,00 00 00 00,STANDBY,OFF,Cycle 0 Unknown,OFF,OFF,OFF,OFF,0,0,189,0,0,False,0,0,0,0,0,0,0,False,False,OFF,False,False,False,False,False,Closed,0,OFF,OFF,OFF,OFF,1,TimeLevelOption_Disabled,FF,0,0,0,0
10/13/2021,16:00:08:.653,04:00:08 p. m.,.653,Crit 0.0 Non Crit 0.0,21CE188EDA,Crit 0.0 Non Crit 0.0,Crit 1.0 Non Crit 4.1,00 00 00 00,STANDBY,OFF,Cycle 0 Unknown,OFF,OFF,OFF,OFF,0,0,191,0,0,False,0,0,0,0,0,0,0,False,False,OFF,False,False,False,False,False,Closed,0,OFF,OFF,OFF,OFF,1,TimeLevelOption_Disabled,FF,0,0,0,0
10/13/2021,16:00:08:.861,04:00:08 p. m.,.861,Crit 0.0 Non Crit 0.0,21CE188EDA,Crit 0.0 Non Crit 0.0,Crit 1.0 Non Crit 4.1,00 00 00 00,STANDBY,OFF,Cycle 0 Unknown,OFF,OFF,OFF,OFF,0,0,191,0,0,False,0,0,0,0,0,0,0,False,False,OFF,False,False,False,False,False,Closed,0,OFF,OFF,OFF,OFF,1,TimeLevelOption_Disabled,FF,0,0,0,0
10/13/2021,16:00:09:.039,04:00:09 p. m.,.039,Crit 0.0 Non Crit 0.0,21CE188EDA,Crit 0.0 Non Crit 0.0,Crit 1.0 Non Crit 4.1,00 00 00 00,STANDBY,OFF,Cycle 0 Unknown,OFF,OFF,OFF,OFF,0,0,160,0,0,False,0,0,0,0,0,0,0,False,False,OFF,False,False,False,False,False,Closed,0,OFF,OFF,OFF,OFF,1,TimeLevelOption_Disabled,FF,0,0,0,0
10/13/2021,16:00:09:.202,04:00:09 p. m.,.202,Crit 0.0 Non Crit 0.0,21CE188EDA,Crit 0.0 Non Crit 0.0,Crit 1.0 Non Crit 4.1,00 00 00 00,STANDBY,OFF,Cycle 0 Unknown,OFF,OFF,OFF,OFF,0,0,160,0,0,False,0,0,0,0,0,0,0,False,False,OFF,False,False,False,False,False,Closed,0,OFF,OFF,OFF,OFF,1,TimeLevelOption_Disabled,FF,0,0,0,0
